"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 06 16:39:39 MSK 2025","Thu Feb 06 16:39:40 MSK 2025","585","tests","test_change_user_data","TestChangeUserData","","","Авторизованный юзер изменение данных","Создаем юзера, меняем данные юзера, проверяем изменение, удаляем юзера"
"passed","Thu Feb 06 16:39:45 MSK 2025","Thu Feb 06 16:39:45 MSK 2025","23","tests","test_create_user","TestCreateUser","","","Регистрация юзера без обязательного поля","Создаем юзера требуемого без поля, проверяем сообщение об ошибке"
"passed","Thu Feb 06 16:39:43 MSK 2025","Thu Feb 06 16:39:44 MSK 2025","579","tests","test_create_order","TestCreateUser","","","Создание заказа с некорректным хешем ингредиента","Создаем юзера, создаем заказ с некорректным хешем ингредиента, проверяем, удаляем юзера"
"passed","Thu Feb 06 16:39:51 MSK 2025","Thu Feb 06 16:39:51 MSK 2025","25","tests","test_user_login","TestLoginUser","","","Логин юзера с неверным емейлом/паролем","Создаем юзера, логинимся под ним под неправильным емейлом/паролем, проверяем ошибку, удаляем юзера"
"passed","Thu Feb 06 16:39:44 MSK 2025","Thu Feb 06 16:39:44 MSK 2025","0","tests","test_create_user","TestCreateUser","","","Регистрация юзера","Создаем юзера, проверяем создание юзера, удаляем юзера"
"passed","Thu Feb 06 16:39:44 MSK 2025","Thu Feb 06 16:39:45 MSK 2025","512","tests","test_create_user","TestCreateUser","","","Регистрация уже существующего юзера","Создаем юзера, создаем повторно юзера с теми же параметрами, удаляем юзера, проверяем сообщение об ошибке"
"passed","Thu Feb 06 16:39:42 MSK 2025","Thu Feb 06 16:39:42 MSK 2025","0","tests","test_create_order","TestCreateUser","","","Создание заказа с авторизацией","Создаем юзера, получаем список ингредиентов, создаем заказ, проверяем, удаляем юзера"
"passed","Thu Feb 06 16:39:50 MSK 2025","Thu Feb 06 16:39:50 MSK 2025","23","tests","test_get_user_orders","TestCreateUser","","","Получение списка заказов без авторизации","Создаем юзера, получаем список ингредиентов, создаем 2 заказа юзеру, получаем список заказов, проверяем, удаляем юзера"
"passed","Thu Feb 06 16:39:45 MSK 2025","Thu Feb 06 16:39:45 MSK 2025","27","tests","test_create_user","TestCreateUser","","","Регистрация юзера без обязательного поля","Создаем юзера требуемого без поля, проверяем сообщение об ошибке"
"passed","Thu Feb 06 16:39:43 MSK 2025","Thu Feb 06 16:39:43 MSK 2025","550","tests","test_create_order","TestCreateUser","","","Создание заказа без ингредиентов","Создаем юзера, создаем заказ без ингредиентов, проверяем, удаляем юзера"
"passed","Thu Feb 06 16:39:45 MSK 2025","Thu Feb 06 16:39:50 MSK 2025","4859","tests","test_get_user_orders","TestCreateUser","","","Получение списка заказов авторизованного юзера","Создаем юзера, получаем список ингредиентов, создаем 2 заказа юзеру, получаем список заказов, проверяем, удаляем юзера"
"passed","Thu Feb 06 16:39:45 MSK 2025","Thu Feb 06 16:39:45 MSK 2025","25","tests","test_create_user","TestCreateUser","","","Регистрация юзера без обязательного поля","Создаем юзера требуемого без поля, проверяем сообщение об ошибке"
"passed","Thu Feb 06 16:39:43 MSK 2025","Thu Feb 06 16:39:43 MSK 2025","60","tests","test_create_order","TestCreateUser","","","Создание заказа без авторизации","Создаем заказ без авторизации, проверяем"
"passed","Thu Feb 06 16:39:51 MSK 2025","Thu Feb 06 16:39:51 MSK 2025","94","tests","test_user_login","TestLoginUser","","","Логин юзера с неверным емейлом/паролем","Создаем юзера, логинимся под ним под неправильным емейлом/паролем, проверяем ошибку, удаляем юзера"
"passed","Thu Feb 06 16:39:50 MSK 2025","Thu Feb 06 16:39:50 MSK 2025","97","tests","test_user_login","TestLoginUser","","","Логин юзера","Создаем юзера, логинимся под ним, проверяем логин, удаляем юзера"
"passed","Thu Feb 06 16:39:40 MSK 2025","Thu Feb 06 16:39:40 MSK 2025","26","tests","test_change_user_data","TestChangeUserData","","","Неавторизованный юзер: изменение данных","Не авторизуемся, меняем данные юзера, проверяем ответ"
